31404.212 0.000	2068	3699	3932	3943	4020	4092	4339	5362	6724
31419.018 0.000	1979	3580	3856	3854	3945	4084	4319	5356	6692
31433.825 0.000	1972	3542	3815	3814	3892	4077	4300	5350	6660
31448.631 0.000	2028	3595	3899	3835	3939	4069	4280	5345	6627
31463.437 0.000	2136	3792	4010	4009	4074	4061	4260	5339	6594
31478.244 0.000	2173	3901	4123	4058	4193	4054	4240	5332	6561
31493.050 0.000	2152	3918	4078	4047	4150	4046	4219	5326	6527
31507.856 0.000	2107	3826	4029	3999	4097	4038	4225	5320	6540
31522.663 0.000	2102	3767	3975	3914	4021	4054	4255	5321	6570
31537.469 0.000	2116	3782	3902	3876	3910	4090	4284	5367	6601
31552.275 0.000	2161	3872	4009	3932	4014	4126	4313	5412	6632
31567.082 0.000	2262	4001	4152	4114	4136	4163	4345	5458	6691
31581.888 0.000	2235	4008	4231	4204	4249	4203	4446	5505	6826
31596.694 0.000	2215	3976	4273	4180	4289	4305	4546	5606	6963
31611.501 0.000	2232	4105	4350	4271	4375	4407	4646	5733	7099
31626.307 0.000	2320	4213	4492	4398	4493	4509	4747	5860	7236
31641.113 0.000	2378	4304	4623	4546	4595	4612	4827	5988	7361
31655.920 0.000	2412	4375	4716	4637	4713	4674	4886	6099	7483
31670.726 0.000	2454	4415	4772	4665	4814	4703	4946	6145	7605
31685.532 0.000	2511	4486	4864	4687	4820	4732	5006	6191	7727
31700.338 0.000	2569	4617	4923	4808	4878	4761	5065	6237	7788
31715.145 0.000	2603	4656	4950	4790	4912	4787	5003	6284	7716
31729.951 0.000	2565	4600	4896	4707	4849	4715	4941	6232	7645
31744.757 0.000	2487	4448	4729	4572	4706	4644	4879	6141	7574
31759.564 0.000	2373	4248	4523	4448	4562	4573	4817	6050	7504
31774.370 0.000	2280	4118	4367	4331	4439	4502	4752	5959	7386
31789.176 0.000	2209	4033	4303	4219	4363	4434	4682	5870	7259
